ID,EID,SF,LACT,Event,AGE,Date,Remark,Protocols,Technician
1029006,-               ,1,0,GOHOME     ,195,12/14/2024,                ,                ,
1029146,-               ,1,0,SOLD       ,182,12/9/2024,SOLD            ,                , 
1029281,-               ,1,0,DIED       ,168,12/4/2024,PNEUMONIA       ,                , 
1029318,-               ,1,0,DIED       ,165,12/5/2024,PNEUMONIA       ,                , 
1029465,-               ,1,0,GOHOME     ,163,12/14/2024,                ,                ,
1029466,-               ,1,0,GOHOME     ,163,12/14/2024,                ,                ,
1029467,-               ,1,0,GOHOME     ,163,12/14/2024,                ,                ,
1029468,-               ,1,0,GOHOME     ,163,12/14/2024,                ,                ,
1029469,-               ,1,0,GOHOME     ,163,12/14/2024,                ,                ,
1029470,-               ,1,0,GOHOME     ,163,12/14/2024,                ,                ,
1029471,-               ,1,0,GOHOME     ,163,12/14/2024,                ,                ,
1029473,-               ,1,0,GOHOME     ,163,12/14/2024,                ,                ,
1029474,-               ,1,0,GOHOME     ,163,12/14/2024,                ,                ,
1029475,-               ,1,0,GOHOME     ,163,12/14/2024,                ,                ,
1029476,-               ,1,0,GOHOME     ,163,12/14/2024,                ,                ,
1029477,-               ,1,0,GOHOME     ,163,12/14/2024,                ,                ,
1029478,-               ,1,0,GOHOME     ,162,12/14/2024,                ,                ,
1029479,-               ,1,0,GOHOME     ,162,12/14/2024,                ,                ,
1029480,-               ,1,0,GOHOME     ,162,12/14/2024,                ,                ,
1029481,-               ,1,0,GOHOME     ,162,12/14/2024,                ,                ,
1029482,-               ,1,0,GOHOME     ,162,12/14/2024,                ,                ,
1029483,-               ,1,0,GOHOME     ,162,12/14/2024,                ,                ,
1029484,-               ,1,0,GOHOME     ,162,12/14/2024,                ,                ,
1029485,-               ,1,0,GOHOME     ,162,12/14/2024,                ,                ,
1029486,-               ,1,0,GOHOME     ,162,12/14/2024,                ,                ,
1029487,-               ,1,0,GOHOME     ,162,12/14/2024,                ,                ,
1029488,-               ,1,0,GOHOME     ,162,12/14/2024,                ,                ,
1029490,-               ,1,0,GOHOME     ,162,12/14/2024,                ,                ,
1029491,-               ,1,0,GOHOME     ,161,12/14/2024,                ,                ,
1029492,-               ,1,0,GOHOME     ,161,12/14/2024,                ,                ,
1029493,-               ,1,0,GOHOME     ,161,12/14/2024,                ,                ,
1029494,-               ,1,0,GOHOME     ,161,12/14/2024,                ,                ,
1029495,-               ,1,0,GOHOME     ,161,12/14/2024,                ,                ,
1029496,-               ,1,0,GOHOME     ,161,12/14/2024,                ,                ,
1029497,-               ,1,0,GOHOME     ,161,12/14/2024,                ,                ,
1029498,-               ,1,0,GOHOME     ,161,12/14/2024,                ,                ,
1029499,-               ,1,0,GOHOME     ,161,12/14/2024,                ,                ,
1029500,-               ,1,0,GOHOME     ,161,12/14/2024,                ,                ,
1029502,-               ,1,0,GOHOME     ,161,12/14/2024,                ,                ,
1029503,-               ,1,0,GOHOME     ,161,12/14/2024,                ,                ,
1029504,-               ,1,0,GOHOME     ,161,12/14/2024,                ,                ,
1029505,-               ,1,0,GOHOME     ,161,12/14/2024,                ,                ,
1029506,-               ,1,0,GOHOME     ,160,12/14/2024,                ,                ,
1029508,-               ,1,0,GOHOME     ,159,12/14/2024,                ,                ,
1029509,-               ,1,0,GOHOME     ,160,12/14/2024,                ,                ,
1029510,-               ,1,0,GOHOME     ,160,12/14/2024,                ,                ,
1029511,-               ,1,0,GOHOME     ,160,12/14/2024,                ,                ,
1029512,-               ,1,0,GOHOME     ,160,12/14/2024,                ,                ,
1029513,-               ,1,0,GOHOME     ,160,12/14/2024,                ,                ,
1029514,-               ,1,0,DIED       ,175,12/29/2024,PNEUMONIA       ,                , 
1029515,-               ,1,0,GOHOME     ,159,12/14/2024,                ,                ,
1029516,-               ,1,0,GOHOME     ,159,12/14/2024,                ,                ,
1029517,-               ,1,0,GOHOME     ,159,12/14/2024,                ,                ,
1029518,-               ,1,0,GOHOME     ,159,12/14/2024,                ,                ,
1029519,-               ,1,0,GOHOME     ,159,12/14/2024,                ,                ,
1029520,840003281483155,1,0,DIED       ,164,12/19/2024,CHRONIC         ,                , 
1029521,-               ,1,0,GOHOME     ,159,12/14/2024,                ,                ,
1029522,-               ,1,0,GOHOME     ,159,12/14/2024,                ,                ,
1029523,-               ,1,0,GOHOME     ,159,12/14/2024,                ,                ,
1029525,-               ,1,0,GOHOME     ,159,12/14/2024,                ,                ,
1029526,-               ,1,0,GOHOME     ,159,12/14/2024,                ,                ,
1029527,-               ,1,0,GOHOME     ,159,12/14/2024,                ,                ,
1029528,-               ,1,0,GOHOME     ,158,12/14/2024,                ,                ,
1029530,-               ,1,0,GOHOME     ,158,12/14/2024,                ,                ,
1029531,-               ,1,0,GOHOME     ,158,12/14/2024,                ,                ,
1029532,-               ,1,0,GOHOME     ,158,12/14/2024,                ,                ,
1029534,-               ,1,0,GOHOME     ,158,12/14/2024,                ,                ,
1029537,-               ,1,0,GOHOME     ,158,12/14/2024,                ,                ,
1029538,-               ,1,0,GOHOME     ,157,12/14/2024,                ,                ,
1029539,-               ,1,0,GOHOME     ,157,12/14/2024,                ,                ,
1029540,-               ,1,0,GOHOME     ,157,12/14/2024,                ,                ,
1029541,-               ,1,0,GOHOME     ,157,12/14/2024,                ,                ,
1029542,-               ,1,0,GOHOME     ,157,12/14/2024,                ,                ,
1029543,-               ,1,0,GOHOME     ,157,12/14/2024,                ,                ,
1029544,-               ,1,0,GOHOME     ,157,12/14/2024,                ,                ,
1029545,-               ,1,0,GOHOME     ,157,12/14/2024,                ,                ,
1029546,-               ,1,0,GOHOME     ,157,12/14/2024,                ,                ,
1029547,-               ,1,0,GOHOME     ,157,12/14/2024,                ,                ,
1029548,-               ,1,0,GOHOME     ,157,12/14/2024,                ,                ,
1029549,-               ,1,0,GOHOME     ,156,12/14/2024,                ,                ,
1029550,-               ,1,0,GOHOME     ,156,12/14/2024,                ,                ,
1029551,-               ,1,0,GOHOME     ,156,12/14/2024,                ,                ,
