ID,EID,SFID,SF,LACT,BDAT,CBRD,GNDR,BW8T,TECH,Event,AGE,Date,Remark,Protocols,Technician
1031597,840003286115132,31597,1,0,12/31/2024,J    ,F     ,59,0,TOGROWR    ,1,1/1/2025,                ,                ,
1031598,840003286115138,31598,1,0,12/31/2024,J    ,F     ,74,0,TOGROWR    ,1,1/1/2025,                ,                ,
1031599,840003286115134,31599,1,0,12/31/2024,J    ,F     ,57,0,TOGROWR    ,1,1/1/2025,                ,                ,
1031600,840003286115130,31600,1,0,12/31/2024,J    ,F     ,59,0,TOGROWR    ,1,1/1/2025,                ,                ,
1031601,840003286115133,31601,1,0,12/31/2024,J    ,F     ,52,0,TOGROWR    ,1,1/1/2025,                ,                ,
1031602,840003286115129,31602,1,0,12/31/2024,J    ,F     ,50,0,TOGROWR    ,1,1/1/2025,                ,                ,
1031603,840003286115128,31603,1,0,1/1/2025,J    ,F     ,63,0,TOGROWR    ,1,1/2/2025,                ,                ,
1031604,840003286115136,31604,1,0,1/1/2025,J    ,F     ,62,0,TOGROWR    ,1,1/2/2025,                ,                ,
1031605,840003286115137,31605,1,0,1/1/2025,H    ,F     ,72,0,TOGROWR    ,1,1/2/2025,                ,                ,
1031606,840003286115123,31606,1,0,1/1/2025,J    ,F     ,60,0,TOGROWR    ,1,1/2/2025,                ,                ,
1031607,840003286115124,31607,1,0,1/1/2025,H    ,F     ,83,0,TOGROWR    ,1,1/2/2025,                ,                ,
1031608,840003286115103,31608,1,0,1/1/2025,H    ,F     ,80,0,TOGROWR    ,1,1/2/2025,                ,                ,
1031609,840003286115125,31609,1,0,1/1/2025,H    ,F     ,90,0,TOGROWR    ,1,1/2/2025,                ,                ,
1031610,840003286115126,31610,1,0,1/1/2025,J    ,F     ,60,0,TOGROWR    ,1,1/2/2025,                ,                ,
1031611,840003286115141,31611,1,0,1/1/2025,J    ,F     ,61,0,TOGROWR    ,1,1/2/2025,                ,                ,
1031612,840003286115140,31612,1,0,1/1/2025,J    ,F     ,75,0,TOGROWR    ,1,1/2/2025,                ,                ,
