ID,EID,SF,LACT,Event,AGE,Date,Remark,Protocols,Technician
1031552,840003286115065,1,0,SERUM      ,6,1/2/2025,5.5,                , 
1031553,840003286115066,1,0,SERUM      ,6,1/2/2025,5.3,                , 
1031554,840003286115094,1,0,SERUM      ,6,1/2/2025,6.3,                , 
1031555,840003286115098,1,0,SERUM      ,6,1/2/2025,5.9,                , 
1031556,840003286115102,1,0,SERUM      ,6,1/2/2025,6.6,                , 
1031557,840003286115090,1,0,SERUM      ,6,1/2/2025,5.6,                , 
1031558,840003286115097,1,0,SERUM      ,6,1/2/2025,5.8,                , 
1031559,840003286115101,1,0,SERUM      ,6,1/2/2025,5.9,                , 
1031560,840003286115100,1,0,SERUM      ,6,1/2/2025,5.6,                , 
1031561,840003286115092,1,0,SERUM      ,6,1/2/2025,6.8,                , 
1031562,840003286115093,1,0,SERUM      ,6,1/2/2025,6,                , 
1031563,840003286115099,1,0,SERUM      ,6,1/2/2025,5.8,                , 
1031564,840003286115095,1,0,SERUM      ,5,1/2/2025,6.5,                , 
1031565,840003286115091,1,0,SERUM      ,6,1/2/2025,5.7,                , 
1031566,840003286115115,1,0,SERUM      ,5,1/2/2025,7.4,                , 
1031567,-               ,1,0,SERUM      ,5,1/2/2025,6.8,                , 
1031568,840003286115087,1,0,SERUM      ,5,1/2/2025,6.2,                , 
1031569,840003286115085,1,0,SERUM      ,5,1/2/2025,5.9,                , 
1031570,840003286115083,1,0,SERUM      ,5,1/2/2025,7,                , 
1031571,840003286115086,1,0,SERUM      ,5,1/2/2025,5.9,                , 
1031572,840003286115084,1,0,SERUM      ,5,1/2/2025,6.8,                , 
1031573,840003286115106,1,0,SERUM      ,5,1/2/2025,5.9,                , 
1031574,840003286115116,1,0,SERUM      ,5,1/2/2025,5.2,                , 
1031574,840003286115116,1,0,SERUM      ,13,1/10/2025,5.2,                , 
1031575,840003286115105,1,0,SERUM      ,4,1/2/2025,5.8,                , 
1031576,840003286115109,1,0,SERUM      ,4,1/2/2025,6.2,                , 
1031577,840003286115096,1,0,SERUM      ,4,1/2/2025,5.4,                , 
1031578,840003286115110,1,0,SERUM      ,4,1/2/2025,7.1,                , 
1031579,840003286115119,1,0,SERUM      ,4,1/2/2025,5.9,                , 
1031580,840003286115104,1,0,SERUM      ,4,1/2/2025,6.1,                , 
1031581,840003286115113,1,0,SERUM      ,4,1/2/2025,4.8,                , 
1031582,840003286115108,1,0,SERUM      ,4,1/2/2025,5.6,                , 
1031584,840003286115112,1,0,SERUM      ,3,1/2/2025,6,                , 
1031585,840003286115111,1,0,SERUM      ,3,1/2/2025,6.6,                , 
1031586,840003286115114,1,0,SERUM      ,3,1/2/2025,5.9,                , 
1031587,840003286115122,1,0,SERUM      ,3,1/2/2025,6.6,                , 
1031588,840003286115118,1,0,SERUM      ,3,1/2/2025,6.1,                , 
1031589,840003286115121,1,0,SERUM      ,3,1/2/2025,6.3,                , 
1031590,840003286115120,1,0,SERUM      ,3,1/2/2025,6.1,                , 
1031591,840003286115107,1,0,SERUM      ,3,1/2/2025,6,                , 
1031592,840003286115135,1,0,SERUM      ,3,1/2/2025,5.5,                , 
1031593,840003286115139,1,0,SERUM      ,3,1/2/2025,5.8,                , 
1031594,840003286115131,1,0,SERUM      ,3,1/2/2025,6.7,                , 
1031595,840003286115127,1,0,SERUM      ,3,1/2/2025,6.5,                , 
1031596,840003286115142,1,0,SERUM      ,3,1/2/2025,5.6,                , 
1031597,840003286115132,1,0,SERUM      ,3,1/3/2025,5.6,                , 
1031598,840003286115138,1,0,SERUM      ,3,1/3/2025,6.8,                , 
1031599,840003286115134,1,0,SERUM      ,3,1/3/2025,7.3,                , 
1031600,840003286115130,1,0,SERUM      ,3,1/3/2025,5.7,                , 
1031601,840003286115133,1,0,SERUM      ,3,1/3/2025,5.1,                , 
1031602,840003286115129,1,0,SERUM      ,3,1/3/2025,4.2,                , 
1031603,840003286115128,1,0,SERUM      ,3,1/4/2025,5.4,                , 
1031604,840003286115136,1,0,SERUM      ,3,1/4/2025,6.2,                , 
1031605,840003286115137,1,0,SERUM      ,3,1/4/2025,6.2,                , 
1031606,840003286115123,1,0,SERUM      ,1,1/2/2025,5.2,                , 
1031607,840003286115124,1,0,SERUM      ,1,1/2/2025,5.9,                , 
1031608,840003286115103,1,0,SERUM      ,1,1/2/2025,5.8,                , 
1031609,840003286115125,1,0,SERUM      ,1,1/2/2025,5.7,                , 
1031610,840003286115126,1,0,SERUM      ,1,1/2/2025,5.6,                , 
1031611,840003286115141,1,0,SERUM      ,1,1/2/2025,5.3,                , 
1031612,840003286115140,1,0,SERUM      ,1,1/2/2025,5.8,                , 
1031613,840003286114759,1,0,SERUM      ,3,1/5/2025,6.1,                , 
1031614,840003286114743,1,0,SERUM      ,1,1/2/2025,6.2,                , 
1031615,840003286114760,1,0,SERUM      ,3,1/5/2025,6.4,                , 
1031616,840003286114761,1,0,SERUM      ,3,1/5/2025,5.7,                , 
1031617,840003286114755,1,0,SERUM      ,3,1/5/2025,6,                , 
1031618,840003286114751,1,0,SERUM      ,3,1/5/2025,4.8,                , 
1031619,840003286114752,1,0,SERUM      ,3,1/5/2025,5.8,                , 
1031620,840003286114762,1,0,SERUM      ,3,1/5/2025,6.2,                , 
1031621,840003286114758,1,0,SERUM      ,3,1/5/2025,7.1,                , 
1031622,840003286114756,1,0,SERUM      ,3,1/5/2025,6.2,                , 
1031623,840003286114757,1,0,SERUM      ,3,1/5/2025,6.1,                , 
1031624,840003286114747,1,0,SERUM      ,3,1/5/2025,5.9,                , 
1031625,840003286114748,1,0,SERUM      ,3,1/5/2025,6.3,                , 
1031626,840003286114753,1,0,SERUM      ,3,1/5/2025,5.6,                , 
1031627,840003286114754,1,0,SERUM      ,3,1/5/2025,5.9,                , 
1031628,840003286114750,1,0,SERUM      ,3,1/6/2025,5.5,                , 
1031629,840003286114749,1,0,SERUM      ,3,1/5/2025,5,                , 
1031630,840003286114746,1,0,SERUM      ,3,1/6/2025,5.3,                , 
1031631,840003286114745,1,0,SERUM      ,3,1/6/2025,6,                , 
1031632,840003286114744,1,0,SERUM      ,3,1/6/2025,6.1,                , 
1031633,840003286114774,1,0,SERUM      ,3,1/6/2025,6,                , 
1031634,840003286114766,1,0,SERUM      ,3,1/6/2025,5.3,                , 
1031635,840003286114769,1,0,SERUM      ,3,1/6/2025,5.8,                , 
1031636,840003286114770,1,0,SERUM      ,3,1/6/2025,5.5,                , 
1031637,840003286114765,1,0,SERUM      ,3,1/7/2025,6.3,                , 
1031638,840003286114768,1,0,SERUM      ,3,1/7/2025,6,                , 
1031639,840003286114764,1,0,SERUM      ,3,1/7/2025,5.7,                , 
1031640,840003286114773,1,0,SERUM      ,3,1/7/2025,6,                , 
1031641,840003286114772,1,0,SERUM      ,3,1/7/2025,5.6,                , 
1031642,840003286114767,1,0,SERUM      ,3,1/7/2025,5.9,                , 
