"ID","EID","SF","LACT","Event","AGE","Date","Remark","Protocols","Technician"
1029848,"-               ",1,0,"PNEUMON    ",152,2025-01-01,"DRAXXIN         "," Draxxin        "," Pablo"
1029854,"840003281483100",1,0,"PNEUMON    ",151,2025-01-01,"ZACTRAN         "," Zactran        "," Fransisco"
1029854,"840003281483100",1,0,"FEVER      ",151,2025-01-01,"BANAMINE        "," Banamine       "," Luis"
1029854,"840003281483100",1,0,"FEVER      ",153,2025-01-03,"BANAMINE        "," Banamine       "," Luis"
1029854,"840003281483100",1,0,"PNEUMON    ",159,2025-01-09,"NUF/BANA"," Nuflor+Banamine"," Pablo"
1029918,"-               ",1,0,"PINKEYE    ",150,2025-01-05,"DEXA/PEN"," Dexameth\Penici"," Luis"
1029921,"-               ",1,0,"PNEUMON    ",153,2025-01-09,"NUF/BANA"," Nuflor+Banamine"," Luis"
1029933,"-               ",1,0,"PNEUMON    ",153,2025-01-09,"NUF/BANA"," Nuflor+Banamine"," Luis"
1029944,"840003287384291",1,0,"PNEUMON    ",147,2025-01-04,"NUF/BANA"," Nuflor+Banamine"," Pedro"
1029952,"-               ",1,0,"PINKEYE    ",148,2025-01-05,"DEXA/PEN"," Dexameth\Penici"," Luis"
1029967,"-               ",1,0,"PNEUMON    ",147,2025-01-05,"NUF/BANA"," Nuflor+Banamine"," Luis"
1029987,"840003287384394",1,0,"PNEUMON    ",148,2025-01-08,"DRAXXIN         "," Draxxin        "," Pablo"
1029990,"840003287384399",1,0,"PINKEYE    ",142,2025-01-02,"DEXA/PEN"," Dexameth\Penici"," Pablo"
1029994,"840003287384401",1,0,"PINKEYE    ",148,2025-01-08,"DEXA/PEN"," Dexameth\Penici"," Pablo"
1030004,"-               ",1,0,"PINKEYE    ",140,2025-01-01,"DEXA/PEN"," Dexameth\Penici"," Luis"
1030014,"-               ",1,0,"PINKEYE    ",139,2025-01-01,"DEXA/PEN"," Dexameth\Penici"," Luis"
1030017,"-               ",1,0,"PNEUMON    ",143,2025-01-05,"DRAXXIN         "," Draxxin        "," Luis"
1030024,"840003281483019",1,0,"PNEUMON    ",139,2025-01-02,"DRAXXIN         "," Draxxin        "," Pablo"
1030034,"-               ",1,0,"PINKEYE    ",138,2025-01-01,"DEXA/PEN"," Dexameth\Penici"," Pablo"
1030047,"840003287384318",1,0,"PNEUMON    ",147,2025-01-11,"DRAXXIN         "," Draxxin        "," Pedro"
1030060,"840003287383926",1,0,"PINKEYE    ",143,2025-01-09,"DEXA/PEN"," Dexameth\Penici"," Luis"
1030061,"840003287384326",1,0,"PINKEYE    ",137,2025-01-02,"DEXA/PEN"," Dexameth\Penici"," Pablo"
1030066,"840003287384332",1,0,"PNEUMON    ",136,2025-01-02,"DRAXXIN         "," Draxxin        "," Pablo"
1030067,"840003287384333",1,0,"PINKEYE    ",136,2025-01-02,"DEXA/PEN"," Dexameth\Penici"," Pablo"
1030074,"-               ",1,0,"PINKEYE    ",139,2025-01-06,"DEXA/PEN"," Dexameth\Penici"," Luis"
1030075,"840003287384341",1,0,"PNEUMON    ",137,2025-01-04,"ZAC/BANA"," Zacran+Banamine"," Luis"
1030075,"840003287384341",1,0,"FEVER      ",138,2025-01-05,"BANAMINE        "," Banamine       "," "
1030075,"840003287384341",1,0,"PNEUMON    ",141,2025-01-08,"NUF/BANA"," Nuflor+Banamine"," Luis"
1030077,"840003287384343",1,0,"PNEUMON    ",139,2025-01-06,"DRAXXIN         "," Draxxin        "," Pablo"
1030077,"840003287384343",1,0,"PNEUMON    ",141,2025-01-08,"BAY/BANA"," Baytril+Banamin"," Pablo"
1030094,"840003287384383",1,0,"PNEUMON    ",137,2025-01-05,"DRAXXIN         "," Draxxin        "," Pablo"
1030098,"-               ",1,0,"FEVER      ",134,2025-01-02,"BANAMINE        "," Banamine       "," "
1030100,"840003287384384",1,0,"PINKEYE    ",141,2025-01-09,"DEXA/PEN"," Dexameth\Penici"," Pablo"
1030109,"-               ",1,0,"PINKEYE    ",136,2025-01-05,"DEXA/PEN"," Dexameth\Penici"," Luis"
1030109,"-               ",1,0,"PINKEYE    ",140,2025-01-09,"DEXA/PEN"," Dexameth\Penici"," Luis"
1030111,"840003287384456",1,0,"PINKEYE    ",141,2025-01-11,"DEXA/PEN"," Dexameth\Penici"," Pedro"
1030113,"840003287384461",1,0,"PNEUMON    ",132,2025-01-02,"BAY/BANA"," Baytril+Banamin"," Pablo"
1030113,"840003287384461",1,0,"PNEUMON    ",136,2025-01-06,"ZAC/BANA"," Zacran+Banamine"," Luis"
1030113,"840003287384461",1,0,"FEVER      ",138,2025-01-08,"BANAMINE        "," Banamine       "," "
1030123,"-               ",1,0,"PINKEYE    ",135,2025-01-05,"DEXA/PEN"," Dexameth\Penici"," Luis"
1030123,"-               ",1,0,"PNEUMON    ",139,2025-01-09,"DRAXXIN         "," Draxxin        "," Luis"
1030124,"840003287383892",1,0,"PINKEYE    ",134,2025-01-04,"DEXA/PEN"," Dexameth\Penici"," Pedro"
1030127,"-               ",1,0,"PNEUMON    ",134,2025-01-05,"DRAXXIN         "," Draxxin        "," Luis"
1030130,"-               ",1,0,"PINKEYE    ",135,2025-01-06,"DEXA/PEN"," Dexameth\Penici"," Luis"
1030132,"-               ",1,0,"PNEUMON    ",130,2025-01-01,"ZAC/BANA"," Zacran+Banamine"," Luis"
1030133,"840003287383909",1,0,"PNEUMON    ",135,2025-01-06,"DRAXXIN         "," Draxxin        "," Pablo"
1030134,"-               ",1,0,"PNEUMON    ",131,2025-01-02,"NUF/BANA"," Nuflor+Banamine"," Pablo"
1030140,"-               ",1,0,"PINKEYE    ",130,2025-01-02,"DEXA/PEN"," Dexameth\Penici"," Pablo"
