"ID","EID","SF","LACT","Event","AGE","Date","Remark","Protocols","Technician"
2001703,"-               ",2,0,"GOHOME     ",188,2025-01-04,"                ",NA,NA
2001873,"-               ",2,0,"GOHOME     ",173,2025-01-04,"                ",NA,NA
2001875,"-               ",2,0,"GOHOME     ",167,2025-01-04,"                ",NA,NA
2001876,"-               ",2,0,"GOHOME     ",167,2025-01-04,"                ",NA,NA
2001877,"-               ",2,0,"GOHOME     ",167,2025-01-04,"                ",NA,NA
2001878,"-               ",2,0,"GOHOME     ",167,2025-01-04,"                ",NA,NA
2001880,"-               ",2,0,"GOHOME     ",167,2025-01-04,"                ",NA,NA
2001882,"-               ",2,0,"GOHOME     ",167,2025-01-04,"                ",NA,NA
2001883,"-               ",2,0,"GOHOME     ",167,2025-01-04,"                ",NA,NA
2001884,"-               ",2,0,"GOHOME     ",166,2025-01-04,"                ",NA,NA
2001885,"-               ",2,0,"GOHOME     ",166,2025-01-04,"                ",NA,NA
2001886,"-               ",2,0,"GOHOME     ",166,2025-01-04,"                ",NA,NA
2001887,"-               ",2,0,"GOHOME     ",166,2025-01-04,"                ",NA,NA
2001888,"-               ",2,0,"GOHOME     ",166,2025-01-04,"                ",NA,NA
2001891,"-               ",2,0,"GOHOME     ",167,2025-01-04,"                ",NA,NA
2001892,"-               ",2,0,"GOHOME     ",166,2025-01-04,"                ",NA,NA
2001893,"-               ",2,0,"GOHOME     ",166,2025-01-04,"                ",NA,NA
2001894,"-               ",2,0,"GOHOME     ",166,2025-01-04,"                ",NA,NA
2001895,"-               ",2,0,"GOHOME     ",166,2025-01-04,"                ",NA,NA
2001896,"-               ",2,0,"GOHOME     ",166,2025-01-04,"                ",NA,NA
2001897,"-               ",2,0,"GOHOME     ",165,2025-01-04,"                ",NA,NA
2001898,"-               ",2,0,"GOHOME     ",165,2025-01-04,"                ",NA,NA
2001900,"-               ",2,0,"GOHOME     ",165,2025-01-04,"                ",NA,NA
2001901,"-               ",2,0,"GOHOME     ",165,2025-01-04,"                ",NA,NA
2001902,"-               ",2,0,"GOHOME     ",165,2025-01-04,"                ",NA,NA
