"ID","EID","SF","LACT","Event","AGE","Date","Remark","Protocols","Technician"
1031574,"840003286115116",1,0,"SERUM      ",13,2025-01-10,5.2,NA,NA
1031644,"840003286114794",1,0,"SERUM      ",3,2025-01-08,5.6,NA,NA
1031645,"840003286114798",1,0,"SERUM      ",3,2025-01-08,6.1,NA,NA
1031648,"840003286114777",1,0,"SERUM      ",3,2025-01-08,5.8,NA,NA
1031649,"840003286114778",1,0,"SERUM      ",3,2025-01-08,5.4,NA,NA
1031650,"840003286114780",1,0,"SERUM      ",3,2025-01-08,5.2,NA,NA
1031651,"840003286114781",1,0,"SERUM      ",3,2025-01-08,5.6,NA,NA
1031652,"840003286114799",1,0,"SERUM      ",3,2025-01-08,6.2,NA,NA
1031653,"840003286114763",1,0,"SERUM      ",3,2025-01-08,6.7,NA,NA
1031654,"840003286114795",1,0,"SERUM      ",3,2025-01-08,5.5,NA,NA
1031655,"840003286114807",1,0,"SERUM      ",3,2025-01-10,4.5,NA,NA
1031656,"840003286114790",1,0,"SERUM      ",3,2025-01-08,5.4,NA,NA
1031657,"840003286114797",1,0,"SERUM      ",3,2025-01-08,5.8,NA,NA
1031658,"840003286114800",1,0,"SERUM      ",3,2025-01-09,5.3,NA,NA
1031659,"840003286114786",1,0,"SERUM      ",3,2025-01-09,5.9,NA,NA
1031660,"840003286114789",1,0,"SERUM      ",3,2025-01-09,4.5,NA,NA
1031661,"840003286114796",1,0,"SERUM      ",3,2025-01-08,6.4,NA,NA
1031662,"840003286114785",1,0,"SERUM      ",3,2025-01-09,6,NA,NA
1031663,"840003286114783",1,0,"SERUM      ",3,2025-01-09,6.3,NA,NA
1031664,"840003286114784",1,0,"SERUM      ",3,2025-01-09,5.7,NA,NA
1031665,"840003286114787",1,0,"SERUM      ",3,2025-01-09,6.1,NA,NA
1031666,"840003286114788",1,0,"SERUM      ",3,2025-01-09,5.5,NA,NA
1031667,"840003286114791",1,0,"SERUM      ",3,2025-01-09,5.5,NA,NA
1031668,"840003286114792",1,0,"SERUM      ",3,2025-01-09,5.5,NA,NA
1031669,"840003286114802",1,0,"SERUM      ",3,2025-01-09,5.5,NA,NA
1031670,"840003286114801",1,0,"SERUM      ",3,2025-01-09,5.7,NA,NA
1031672,"840003286114808",1,0,"SERUM      ",3,2025-01-10,5.2,NA,NA
1031673,"840003286114813",1,0,"SERUM      ",2,2025-01-10,5.5,NA,NA
1031675,"840003286114815",1,0,"SERUM      ",3,2025-01-10,5,NA,NA
1031676,"840003286114804",1,0,"SERUM      ",3,2025-01-10,6.1,NA,NA
1031677,"840003286114805",1,0,"SERUM      ",3,2025-01-10,6.2,NA,NA
1031678,"840003286114816",1,0,"SERUM      ",3,2025-01-10,6.7,NA,NA
1031679,"840003286114820",1,0,"SERUM      ",3,2025-01-10,6.8,NA,NA
1031680,"840003286114809",1,0,"SERUM      ",3,2025-01-10,5.2,NA,NA
1031681,"840003286114817",1,0,"SERUM      ",3,2025-01-10,6.1,NA,NA
1031682,"840003286114806",1,0,"SERUM      ",3,2025-01-10,5.6,NA,NA
1031683,"840003286114810",1,0,"SERUM      ",2,2025-01-10,6.4,NA,NA
1031684,"840003286114814",1,0,"SERUM      ",2,2025-01-10,6.3,NA,NA
1031685,"840003286114821",1,0,"SERUM      ",2,2025-01-10,5.6,NA,NA
1031686,"840003286114818",1,0,"SERUM      ",2,2025-01-10,6,NA,NA
1031687,"840003286114822",1,0,"SERUM      ",2,2025-01-10,5.8,NA,NA
1031688,"840003286114803",1,0,"SERUM      ",2,2025-01-10,5.5,NA,NA
1031689,"840003286114826",1,0,"SERUM      ",2,2025-01-10,6.3,NA,NA
1031690,"840003286114825",1,0,"SERUM      ",3,2025-01-12,6.2,NA,NA
1031691,"840003286114824",1,0,"SERUM      ",3,2025-01-11,6,NA,NA
1031692,"840003286114828",1,0,"SERUM      ",3,2025-01-11,6.6,NA,NA
1031693,"840003286114827",1,0,"SERUM      ",3,2025-01-11,5.5,NA,NA
1031694,"840003286114832",1,0,"SERUM      ",3,2025-01-12,6.1,NA,NA
1031695,"840003286114830",1,0,"SERUM      ",3,2025-01-12,6.3,NA,NA
1031696,"840003286114835",1,0,"SERUM      ",3,2025-01-12,6.5,NA,NA
1031697,"840003286114831",1,0,"SERUM      ",1,2025-01-10,6.2,NA,NA
1031698,"840003286114829",1,0,"SERUM      ",3,2025-01-12,6.3,NA,NA
1031699,"840003286114836",1,0,"SERUM      ",3,2025-01-12,5.5,NA,NA
1031700,"840003286114833",1,0,"SERUM      ",3,2025-01-12,4.8,NA,NA
1031701,"840003286114823",1,0,"SERUM      ",3,2025-01-12,5.7,NA,NA
1031702,"840003286114839",1,0,"SERUM      ",3,2025-01-12,5.9,NA,NA
1031703,"840003286114840",1,0,"SERUM      ",3,2025-01-12,4.9,NA,NA
2002825,"840003290176959",2,0,"SERUM      ",3,2025-01-12,5.2,NA,NA
2002826,"840003290177034",2,0,"SERUM      ",3,2025-01-12,6.2,NA,NA
2002827,"840003290176936",2,0,"SERUM      ",3,2025-01-12,6.5,NA,NA
2002828,"840003290176954",2,0,"SERUM      ",3,2025-01-12,6,NA,NA
2002829,"840003290176941",2,0,"SERUM      ",3,2025-01-12,5.8,NA,NA
2002830,"840003290176978",2,0,"SERUM      ",3,2025-01-12,6.4,NA,NA
2002831,"840003290177086",2,0,"SERUM      ",3,2025-01-12,5.4,NA,NA
2002832,"840003290176950",2,0,"SERUM      ",3,2025-01-12,5.8,NA,NA
