"ID","EID","SF","LACT","Event","AGE","Date","Remark","Protocols","Technician"
1029854,"840003281483100",1,0,"PNEUMON    ",159,2025-01-09,"NUF/BANA"," Nuflor+Banamine"," Pablo"
1029921,"-               ",1,0,"PNEUMON    ",153,2025-01-09,"NUF/BANA"," Nuflor+Banamine"," Luis"
1029933,"-               ",1,0,"PNEUMON    ",153,2025-01-09,"NUF/BANA"," Nuflor+Banamine"," Luis"
1029987,"840003287384394",1,0,"PNEUMON    ",148,2025-01-08,"DRAXXIN         "," Draxxin        "," Pablo"
1029994,"840003287384401",1,0,"PINKEYE    ",148,2025-01-08,"DEXA/PEN"," Dexameth\Penici"," Pablo"
1030047,"840003287384318",1,0,"PNEUMON    ",147,2025-01-11,"DRAXXIN         "," Draxxin        "," Pedro"
1030060,"840003287383926",1,0,"PINKEYE    ",143,2025-01-09,"DEXA/PEN"," Dexameth\Penici"," Luis"
1030075,"840003287384341",1,0,"PNEUMON    ",141,2025-01-08,"NUF/BANA"," Nuflor+Banamine"," Luis"
1030077,"840003287384343",1,0,"PNEUMON    ",141,2025-01-08,"BAY/BANA"," Baytril+Banamin"," Pablo"
1030100,"840003287384384",1,0,"PINKEYE    ",141,2025-01-09,"DEXA/PEN"," Dexameth\Penici"," Pablo"
1030109,"-               ",1,0,"PINKEYE    ",140,2025-01-09,"DEXA/PEN"," Dexameth\Penici"," Luis"
1030111,"840003287384456",1,0,"PINKEYE    ",141,2025-01-11,"DEXA/PEN"," Dexameth\Penici"," Pedro"
1030113,"840003287384461",1,0,"FEVER      ",138,2025-01-08,"BANAMINE        "," Banamine       "," "
1030123,"-               ",1,0,"PNEUMON    ",139,2025-01-09,"DRAXXIN         "," Draxxin        "," Luis"
1030142,"840003287383903",1,0,"PINKEYE    ",136,2025-01-08,"DEXA/PEN"," Dexameth\Penici"," Pablo"
1030142,"840003287383903",1,0,"PINKEYE    ",139,2025-01-11,"DEXA/PEN"," Dexameth\Penici"," Pedro"
1030158,"-               ",1,0,"PNEUMON    ",135,2025-01-09,"DRAXXIN         "," Draxxin        "," Luis"
1030176,"-               ",1,0,"PINKEYE    ",134,2025-01-08,"DEXA/PEN"," Dexameth\Penici"," Luis"
1030179,"840003287384251",1,0,"PNEUMON    ",135,2025-01-09,"DRAXXIN         "," Draxxin        "," Luis"
1030193,"840003287384265",1,0,"PNEUMON    ",132,2025-01-08,"DRAXXIN         "," Draxxin        "," Pablo"
1030197,"-               ",1,0,"PNEUMON    ",132,2025-01-08,"ZAC/BANA"," Zacran+Banamine"," Luis"
1030201,"840003287383954",1,0,"PNEUMON    ",135,2025-01-11,"DRAXXIN         "," Draxxin        "," Pedro"
1030219,"840003287383913",1,0,"PNEUMON    ",132,2025-01-10,"DRAXXIN         "," Draxxin        "," Pablo"
1030225,"-               ",1,0,"PNEUMON    ",130,2025-01-08,"DRAXXIN         "," Draxxin        "," Luis"
1030232,"-               ",1,0,"PINKEYE    ",133,2025-01-11,"DEXA/PEN"," Dexameth\Penici"," Pedro"
1030240,"840003287383971",1,0,"PNEUMON    ",131,2025-01-10,"DRAXXIN         "," Draxxin        "," Pablo"
1030245,"840003287383976",1,0,"PNEUMON    ",129,2025-01-09,"BAY/BANA"," Baytril+Banamin"," Pablo"
1030255,"840003287383931",1,0,"PNEUMON    ",129,2025-01-09,"ZAC/BANA"," Zacran+Banamine"," Luis"
1030269,"840003287383946",1,0,"PINKEYE    ",126,2025-01-08,"DEXA/PEN"," Dexameth\Penici"," Pablo"
1030269,"840003287383946",1,0,"PINKEYE    ",129,2025-01-11,"DEXA/PEN"," Dexameth\Penici"," Pedro"
1030269,"840003287383946",1,0,"PNEUMON    ",129,2025-01-11,"DRAXXIN         "," Draxxin        "," Pedro"
1030271,"-               ",1,0,"PNEUMON    ",126,2025-01-08,"NUF/BANA"," Nuflor+Banamine"," Luis"
1030272,"-               ",1,0,"PNEUMON    ",127,2025-01-09,"DRAXXIN         "," Draxxin        "," Luis"
1030276,"840003287383941",1,0,"PNEUMON    ",129,2025-01-11,"DRAXXIN         "," Draxxin        "," Pedro"
1030283,"-               ",1,0,"PNEUMON    ",126,2025-01-09,"DRAXXIN         "," Draxxin        "," Luis"
1030284,"840003287384035",1,0,"PNEUMON    ",128,2025-01-11,"DRAXXIN         "," Draxxin        "," Luis"
1030292,"-               ",1,0,"PINKEYE    ",125,2025-01-09,"DEXA/PEN"," Dexameth\Penici"," Luis"
1030295,"-               ",1,0,"PINKEYE    ",125,2025-01-09,"DEXA/PEN"," Dexameth\Penici"," Luis"
1030296,"840003287384231",1,0,"PINKEYE    ",125,2025-01-09,"DEXA/PEN"," Dexameth\Penici"," Pablo"
1030297,"840003287384038",1,0,"PNEUMON    ",125,2025-01-09,"DRAXXIN         "," Draxxin        "," Luis"
1030300,"840003287384233",1,0,"PNEUMON    ",124,2025-01-08,"DRAXXIN         "," Draxxin        "," Pablo"
1030301,"-               ",1,0,"PNEUMON    ",125,2025-01-09,"DRAXXIN         "," Draxxin        "," Luis"
1030305,"-               ",1,0,"PNEUMON    ",125,2025-01-09,"DRAXXIN         "," Draxxin        "," Luis"
1030306,"840003287384249",1,0,"PINKEYE    ",125,2025-01-09,"DEXA/PEN"," Dexameth\Penici"," Luis"
1030309,"840003287384236",1,0,"PNEUMON    ",125,2025-01-09,"DRAXXIN         "," Draxxin        "," Pablo"
1030309,"840003287384236",1,0,"FEVER      ",127,2025-01-11,"BANAMINE        "," Banamine       "," Pedro"
1030313,"-               ",1,0,"PNEUMON    ",124,2025-01-09,"DRAXXIN         "," Draxxin        "," Luis"
1030331,"-               ",1,0,"PNEUMON    ",121,2025-01-08,"NUF/BANA"," Nuflor+Banamine"," Luis"
1030342,"-               ",1,0,"PNEUMON    ",122,2025-01-09,"DRAXXIN         "," Draxxin        "," Luis"
