"ID","EID","SF","LACT","Event","AGE","Date","Remark","Protocols","Technician"
2001703,"-               ",2,0,"GOHOME     ",188,2025-01-04,"                ","",""
2001873,"-               ",2,0,"GOHOME     ",173,2025-01-04,"                ","",""
2001875,"-               ",2,0,"GOHOME     ",167,2025-01-04,"                ","",""
2001876,"-               ",2,0,"GOHOME     ",167,2025-01-04,"                ","",""
2001877,"-               ",2,0,"GOHOME     ",167,2025-01-04,"                ","",""
2001878,"-               ",2,0,"GOHOME     ",167,2025-01-04,"                ","",""
2001880,"-               ",2,0,"GOHOME     ",167,2025-01-04,"                ","",""
2001882,"-               ",2,0,"GOHOME     ",167,2025-01-04,"                ","",""
2001883,"-               ",2,0,"GOHOME     ",167,2025-01-04,"                ","",""
2001884,"-               ",2,0,"GOHOME     ",166,2025-01-04,"                ","",""
2001885,"-               ",2,0,"GOHOME     ",166,2025-01-04,"                ","",""
2001886,"-               ",2,0,"GOHOME     ",166,2025-01-04,"                ","",""
2001887,"-               ",2,0,"GOHOME     ",166,2025-01-04,"                ","",""
2001888,"-               ",2,0,"GOHOME     ",166,2025-01-04,"                ","",""
2001891,"-               ",2,0,"GOHOME     ",167,2025-01-04,"                ","",""
2001892,"-               ",2,0,"GOHOME     ",166,2025-01-04,"                ","",""
2001893,"-               ",2,0,"GOHOME     ",166,2025-01-04,"                ","",""
2001894,"-               ",2,0,"GOHOME     ",166,2025-01-04,"                ","",""
2001895,"-               ",2,0,"GOHOME     ",166,2025-01-04,"                ","",""
2001896,"-               ",2,0,"GOHOME     ",166,2025-01-04,"                ","",""
2001897,"-               ",2,0,"GOHOME     ",165,2025-01-04,"                ","",""
2001898,"-               ",2,0,"GOHOME     ",165,2025-01-04,"                ","",""
2001900,"-               ",2,0,"GOHOME     ",165,2025-01-04,"                ","",""
2001901,"-               ",2,0,"GOHOME     ",165,2025-01-04,"                ","",""
2001902,"-               ",2,0,"GOHOME     ",165,2025-01-04,"                ","",""
2001903,"-               ",2,0,"GOHOME     ",164,2025-01-04,"                ","",""
2001904,"-               ",2,0,"GOHOME     ",164,2025-01-04,"                ","",""
2001905,"-               ",2,0,"GOHOME     ",164,2025-01-04,"                ","",""
2001906,"-               ",2,0,"GOHOME     ",164,2025-01-04,"                ","",""
2001908,"-               ",2,0,"GOHOME     ",164,2025-01-04,"                ","",""
2001909,"-               ",2,0,"GOHOME     ",163,2025-01-04,"                ","",""
2001910,"-               ",2,0,"GOHOME     ",163,2025-01-04,"                ","",""
2001911,"-               ",2,0,"GOHOME     ",163,2025-01-04,"                ","",""
2001913,"-               ",2,0,"GOHOME     ",163,2025-01-04,"                ","",""
2001914,"-               ",2,0,"GOHOME     ",163,2025-01-04,"                ","",""
2001915,"-               ",2,0,"GOHOME     ",163,2025-01-04,"                ","",""
2001916,"-               ",2,0,"GOHOME     ",163,2025-01-04,"                ","",""
2001917,"-               ",2,0,"GOHOME     ",163,2025-01-04,"                ","",""
2001918,"-               ",2,0,"GOHOME     ",162,2025-01-04,"                ","",""
2001919,"-               ",2,0,"GOHOME     ",162,2025-01-04,"                ","",""
2001920,"-               ",2,0,"GOHOME     ",162,2025-01-04,"                ","",""
2001921,"-               ",2,0,"GOHOME     ",162,2025-01-04,"                ","",""
2001922,"-               ",2,0,"GOHOME     ",162,2025-01-04,"                ","",""
2001923,"-               ",2,0,"GOHOME     ",162,2025-01-04,"                ","",""
2001924,"-               ",2,0,"GOHOME     ",162,2025-01-04,"                ","",""
2001925,"-               ",2,0,"GOHOME     ",160,2025-01-04,"                ","",""
2001926,"-               ",2,0,"GOHOME     ",161,2025-01-04,"                ","",""
2001927,"-               ",2,0,"GOHOME     ",161,2025-01-04,"                ","",""
2001928,"-               ",2,0,"GOHOME     ",161,2025-01-04,"                ","",""
2001929,"-               ",2,0,"GOHOME     ",161,2025-01-04,"                ","",""
2001930,"-               ",2,0,"GOHOME     ",161,2025-01-04,"                ","",""
2001931,"-               ",2,0,"GOHOME     ",161,2025-01-04,"                ","",""
2001932,"-               ",2,0,"GOHOME     ",161,2025-01-04,"                ","",""
2001933,"-               ",2,0,"GOHOME     ",161,2025-01-04,"                ","",""
2001934,"-               ",2,0,"GOHOME     ",161,2025-01-04,"                ","",""
