"ID","EID","SF","LACT","Event","AGE","Date","Remark","Protocols","Technician"
1031574,"840003286115116",1,0,"SERUM      ",13,2025-01-10,5.2,"",""
1031644,"840003286114794",1,0,"SERUM      ",3,2025-01-08,5.6,"",""
1031645,"840003286114798",1,0,"SERUM      ",3,2025-01-08,6.1,"",""
1031648,"840003286114777",1,0,"SERUM      ",3,2025-01-08,5.8,"",""
1031649,"840003286114778",1,0,"SERUM      ",3,2025-01-08,5.4,"",""
1031650,"840003286114780",1,0,"SERUM      ",3,2025-01-08,5.2,"",""
1031651,"840003286114781",1,0,"SERUM      ",3,2025-01-08,5.6,"",""
1031652,"840003286114799",1,0,"SERUM      ",3,2025-01-08,6.2,"",""
1031653,"840003286114763",1,0,"SERUM      ",3,2025-01-08,6.7,"",""
1031654,"840003286114795",1,0,"SERUM      ",3,2025-01-08,5.5,"",""
1031655,"840003286114807",1,0,"SERUM      ",3,2025-01-10,4.5,"",""
1031656,"840003286114790",1,0,"SERUM      ",3,2025-01-08,5.4,"",""
1031657,"840003286114797",1,0,"SERUM      ",3,2025-01-08,5.8,"",""
1031658,"840003286114800",1,0,"SERUM      ",3,2025-01-09,5.3,"",""
1031659,"840003286114786",1,0,"SERUM      ",3,2025-01-09,5.9,"",""
1031660,"840003286114789",1,0,"SERUM      ",3,2025-01-09,4.5,"",""
1031661,"840003286114796",1,0,"SERUM      ",3,2025-01-08,6.4,"",""
1031662,"840003286114785",1,0,"SERUM      ",3,2025-01-09,6,"",""
1031663,"840003286114783",1,0,"SERUM      ",3,2025-01-09,6.3,"",""
1031664,"840003286114784",1,0,"SERUM      ",3,2025-01-09,5.7,"",""
1031665,"840003286114787",1,0,"SERUM      ",3,2025-01-09,6.1,"",""
1031666,"840003286114788",1,0,"SERUM      ",3,2025-01-09,5.5,"",""
1031667,"840003286114791",1,0,"SERUM      ",3,2025-01-09,5.5,"",""
1031668,"840003286114792",1,0,"SERUM      ",3,2025-01-09,5.5,"",""
1031669,"840003286114802",1,0,"SERUM      ",3,2025-01-09,5.5,"",""
1031670,"840003286114801",1,0,"SERUM      ",3,2025-01-09,5.7,"",""
1031672,"840003286114808",1,0,"SERUM      ",3,2025-01-10,5.2,"",""
1031673,"840003286114813",1,0,"SERUM      ",2,2025-01-10,5.5,"",""
1031675,"840003286114815",1,0,"SERUM      ",3,2025-01-10,5,"",""
1031676,"840003286114804",1,0,"SERUM      ",3,2025-01-10,6.1,"",""
1031677,"840003286114805",1,0,"SERUM      ",3,2025-01-10,6.2,"",""
1031678,"840003286114816",1,0,"SERUM      ",3,2025-01-10,6.7,"",""
