"ID","EID","SF","LACT","Event","AGE","Date","Remark","Protocols","Technician"
1030409,840003297405489,1,0,"MEASURE    ",119,2025-01-11,162,"",""
1030469,840003287384540,1,0,"MEASURE    ",115,2025-01-12,232,"",""
1030599,840003287384114,1,0,"MEASURE    ",103,2025-01-11,189,"",""
1030603,840003287384112,1,0,"MEASURE    ",100,2025-01-09,227,"",""
1030659,840003287384717,1,0,"MEASURE    ",98,2025-01-11,147,"",""
1030681,840003287384483,1,0,"MEASURE    ",92,2025-01-09,180,"",""
1030689,840003287384484,1,0,"MEASURE    ",92,2025-01-09,182,"",""
1030690,840003287384480,1,0,"MEASURE    ",92,2025-01-09,153,"",""
1030691,840003287384479,1,0,"MEASURE    ",92,2025-01-09,182,"",""
1030692,840003287384476,1,0,"MEASURE    ",92,2025-01-09,149,"",""
1030693,840003287384475,1,0,"MEASURE    ",92,2025-01-09,203,"",""
1030694,840003287384471,1,0,"MEASURE    ",92,2025-01-09,170,"",""
1030695,840003287384472,1,0,"MEASURE    ",92,2025-01-09,138,"",""
1030697,840003287384214,1,0,"MEASURE    ",92,2025-01-09,164,"",""
1030698,840003287384212,1,0,"MEASURE    ",91,2025-01-09,153,"",""
1030699,840003287384211,1,0,"MEASURE    ",91,2025-01-09,150,"",""
1030700,840003287384215,1,0,"MEASURE    ",91,2025-01-09,248,"",""
1030702,840003287384223,1,0,"MEASURE    ",91,2025-01-09,157,"",""
1030703,840003287384228,1,0,"MEASURE    ",91,2025-01-09,175,"",""
1030705,840003287384218,1,0,"MEASURE    ",91,2025-01-09,213,"",""
1030708,840003287384226,1,0,"MEASURE    ",92,2025-01-11,155,"",""
1030709,840003287384222,1,0,"MEASURE    ",92,2025-01-11,183,"",""
1030710,840003287384224,1,0,"MEASURE    ",92,2025-01-11,157,"",""
1030711,840003287384225,1,0,"MEASURE    ",92,2025-01-11,164,"",""
1030712,840003287384217,1,0,"MEASURE    ",92,2025-01-11,140,"",""
1030713,840003287384216,1,0,"MEASURE    ",92,2025-01-11,180,"",""
1030714,840003287384220,1,0,"MEASURE    ",92,2025-01-11,245,"",""
1030715,840003287384607,1,0,"MEASURE    ",92,2025-01-11,150,"",""
1030716,840003287384599,1,0,"MEASURE    ",92,2025-01-11,150,"",""
1030717,840003287384591,1,0,"MEASURE    ",92,2025-01-11,177,"",""
1030718,840003287384595,1,0,"MEASURE    ",92,2025-01-11,164,"",""
1030720,840003287384596,1,0,"MEASURE    ",91,2025-01-11,168,"",""
1030721,840003287384600,1,0,"MEASURE    ",91,2025-01-11,174,"",""
1030722,840003287384608,1,0,"MEASURE    ",91,2025-01-11,150,"",""
1030725,840003287384609,1,0,"MEASURE    ",91,2025-01-11,197,"",""
1030726,840003287384610,1,0,"MEASURE    ",91,2025-01-11,190,"",""
1030731,840003287384605,1,0,"MEASURE    ",91,2025-01-12,170,"",""
1030732,840003287384601,1,0,"MEASURE    ",91,2025-01-12,163,"",""
1030733,840003287384167,1,0,"MEASURE    ",91,2025-01-12,230,"",""
1030734,840003287384154,1,0,"MEASURE    ",91,2025-01-12,185,"",""
1030735,840003287384151,1,0,"MEASURE    ",90,2025-01-12,183,"",""
1030736,840003287384153,1,0,"MEASURE    ",90,2025-01-12,146,"",""
1030738,840003287384163,1,0,"MEASURE    ",90,2025-01-12,178,"",""
1030739,840003287384159,1,0,"MEASURE    ",90,2025-01-12,182,"",""
1030740,840003287384155,1,0,"MEASURE    ",90,2025-01-12,203,"",""
2002169,840003297405692,2,0,"MEASURE    ",124,2025-01-11,184,"",""
2002245,840003297405739,2,0,"MEASURE    ",115,2025-01-11,245,"",""
2002252,840003297405689,2,0,"MEASURE    ",113,2025-01-11,158,"",""
2002370,840003297405638,2,0,"MEASURE    ",92,2025-01-09,235,"",""
2002371,840003297405482,2,0,"MEASURE    ",92,2025-01-09,210,"",""
2002372,840003297405523,2,0,"MEASURE    ",92,2025-01-09,164,"",""
2002373,840003297405580,2,0,"MEASURE    ",92,2025-01-09,189,"",""
2002375,840003297405566,2,0,"MEASURE    ",92,2025-01-09,202,"",""
2002377,840003297405487,2,0,"MEASURE    ",92,2025-01-09,235,"",""
2002379,840003297405551,2,0,"MEASURE    ",92,2025-01-09,213,"",""
2002380,840003297405541,2,0,"MEASURE    ",92,2025-01-09,268,"",""
2002381,840003297405526,2,0,"MEASURE    ",92,2025-01-09,240,"",""
2002382,840003297405608,2,0,"MEASURE    ",91,2025-01-09,210,"",""
2002393,840003297405478,2,0,"MEASURE    ",91,2025-01-09,218,"",""
2002394,840003297405587,2,0,"MEASURE    ",91,2025-01-09,219,"",""
2002395,840003297405462,2,0,"MEASURE    ",91,2025-01-09,195,"",""
2002396,840003297405548,2,0,"MEASURE    ",91,2025-01-11,164,"",""
2002397,840003297405558,2,0,"MEASURE    ",91,2025-01-11,176,"",""
2002399,840003297405508,2,0,"MEASURE    ",91,2025-01-11,182,"",""
2002400,840003297405560,2,0,"MEASURE    ",91,2025-01-11,222,"",""
